episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max,reward_smooth,loss_smooth,q_smooth,eps_smooth
168,12.0,121311,,0.01625353,2.321917,2.8614984,0.5644576,1.762633996937213,0.0,1.0,10.9,0.018081801955,2.308287187,0.694646848
169,21.0,122499,,0.017218107,2.3452833,2.8899875,0.5611456,1.9688552188552189,0.0,1.0,11.01,0.018073557924999997,2.324077756,0.691994872
170,9.0,123200,,0.016591929,2.358925,2.9082775,0.5577472,2.405135520684736,0.0,1.0,10.96,0.018066658055,2.3400261209999997,0.689334904
171,13.0,124056,,0.01625091,2.3518758,2.9016085,0.5549464000000001,2.355140186915888,0.0,1.0,11.01,0.018036408655,2.3558848369999996,0.6866719839999998
172,13.0,124783,,0.01880227,2.3604524,2.9112887,0.5520952,2.3026134800550206,0.0,1.0,11.07,0.018046304055,2.370244448,0.6839984080000001
173,4.0,125385,,0.01621476,2.4022036,2.9598882,0.5496975999999999,2.463455149501661,0.0,1.0,10.97,0.018019945805,2.384745515,0.681331384
174,5.0,125779,,0.020089855,2.439199,3.0048695,0.5479048,2.2563451776649748,0.0,1.0,10.89,0.018014676605,2.3996734379999998,0.6786815680000001
175,4.0,126150,,0.019872626,2.4160817,2.9767737,0.5465296,2.242587601078167,0.0,1.0,10.83,0.018025761505,2.41420809,0.676042264
176,12.0,127039,,0.018123318,2.4319184,2.996227,0.5442616,1.547806524184477,0.0,1.0,10.87,0.018022521555,2.42915035,0.6734031760000001
177,8.0,127764,,0.016439732,2.4332023,2.9956546,0.54136,2.453793103448276,0.0,1.0,10.83,0.017987743345,2.443880004,0.670758616
178,7.0,128525,,0.017656416,2.430905,2.9944646,0.5386816,2.0065703022339028,0.0,1.0,10.8,0.017983456865,2.458717334,0.668111464
179,6.0,129169,,0.018791353,2.4307466,2.9907935,0.5361472,2.138198757763975,0.0,1.0,10.82,0.017999115024999998,2.472604758,0.6654568240000001
180,2.0,129749,,0.016167315,2.4437637,3.0056083,0.5339439999999999,2.2051724137931035,0.0,1.0,10.78,0.017981031055,2.486250339,0.662800096
181,9.0,130571,,0.015363021,2.48624,3.0583525,0.531424,2.035279805352798,0.0,1.0,10.77,0.017958876385,2.5004803489999996,0.660143368
182,5.0,131253,,0.017539484,2.5109482,3.0912764,0.5287168000000001,2.219941348973607,0.0,1.0,10.78,0.017950690465,2.5152105289999995,0.6574810959999999
183,7.0,131858,,0.016327592,2.5064795,3.0835512,0.5263983999999999,1.988429752066116,0.0,1.0,10.67,0.017933885785000003,2.529656043,0.654824872
184,8.0,132345,,0.0149548035,2.4954522,3.070314,0.5244327999999999,1.88911704312115,0.0,1.0,10.65,0.01790096474,2.5439035569999997,0.652180312
185,9.0,132954,,0.015165657,2.5037801,3.0793188,0.5224599999999999,1.916256157635468,0.0,1.0,10.63,0.01785872353,2.558133293,0.6495490719999999
186,12.0,133677,,0.01674691,2.4979053,3.0685444,0.5200624,2.1936376210235133,0.0,1.0,10.69,0.01783298045,2.571202925,0.646923952
187,22.0,134756,,0.016585613,2.5058596,3.079217,0.5168224,2.128822984244671,0.0,1.0,10.81,0.01781022102,2.584319397,0.6442895439999999
188,6.0,135391,,0.017784286,2.5547297,3.1372845,0.5137408,1.847244094488189,0.0,1.0,10.74,0.01780175788,2.5978139550000003,0.641664568
189,7.0,135957,,0.01932935,2.563333,3.148824,0.5115736,1.9363957597173145,0.0,1.0,10.68,0.0178155318,2.6111800699999996,0.639063136
190,10.0,136561,,0.016096814,2.5585868,3.1437504,0.509464,2.2268211920529803,0.0,1.0,10.65,0.01779269846,2.6245881429999995,0.636471784
191,4.0,137050,,0.013936521,2.5373464,3.1143928,0.5074984,1.8732106339468304,0.0,1.0,10.47,0.01773906258,2.6368933820000002,0.633891304
192,11.0,137740,,0.019745246,2.5600824,3.1445,0.5053816,1.9710144927536235,0.0,1.0,10.29,0.017741498869999997,2.6490239860000004,0.631332424
193,5.0,138135,,0.016826047,2.5617564,3.1463845,0.5034304000000001,2.0683544303797468,0.0,1.0,10.26,0.0177177809,2.6610926490000004,0.628787368
194,6.0,138793,,0.016087605,2.536513,3.11546,0.5015295999999999,1.893617021276596,0.0,1.0,10.26,0.01769794845,2.6728803340000002,0.626244832
195,11.0,139445,,0.018829146,2.5554526,3.1354792,0.499168,1.8803680981595088,0.0,1.0,10.19,0.017689673609999998,2.6848235920000003,0.623713528
196,10.0,140069,,0.016198348,2.5563183,3.1381264,0.4968711999999999,2.014423076923077,0.0,1.0,10.07,0.01766292476,2.696001673,0.62119684
197,9.0,140594,,0.017732458,2.5727627,3.1556857,0.4948048,1.7485714285714289,0.0,1.0,10.1,0.0176310763,2.706299217,0.6186858399999999
198,7.0,141143,,0.015544571,2.5894308,3.1798978,0.4928751999999999,2.214936247723133,0.0,1.0,10.08,0.01758537647,2.716690209,0.6161788
199,23.0,142521,,0.016834166,2.5869813,3.1728873,0.4894048,1.8338171262699563,0.0,1.0,10.21,0.01757234379,2.7271267919999995,0.6136611759999999
200,7.0,143375,,0.017365059,2.5910318,3.1790009,0.4853871999999999,2.357142857142857,0.0,1.0,10.21,0.01755920063,2.737585941,0.611128144
201,3.0,143874,,0.014425063,2.5773232,3.161647,0.4829536,2.3266533066132267,0.0,1.0,10.18,0.01751721711,2.747992213,0.608593168
202,4.0,144228,,0.014052575,2.5673308,3.1457407,0.4814199999999999,2.2401129943502824,0.0,1.0,10.12,0.01745930803,2.758229267,0.606065032
203,24.0,145442,,0.01757446,2.6224434,3.2158473,0.4785975999999999,1.8822075782537069,0.0,1.0,10.26,0.01745286763,2.769139483,0.6035330799999999
204,20.0,146220,,0.016940048,2.6728559,3.2789226,0.475012,1.7647814910025708,0.0,1.0,10.34,0.01743845923,2.7795644449999997,0.6009920559999999
205,18.0,147361,,0.01643183,2.6925497,3.3001049,0.471556,1.997370727432077,0.0,1.0,10.43,0.01739987324,2.790099707,0.5984398719999999
206,13.0,148186,,0.018304694,2.7001283,3.3086085,0.4680136,1.981818181818182,0.0,1.0,10.4,0.01740359108,2.8007387569999995,0.595878328
207,6.0,148734,,0.0140586095,2.7036736,3.314311,0.4655439999999999,2.0437956204379564,0.0,1.0,10.36,0.017366324085,2.8115634490000003,0.5933236239999999
208,6.0,149445,,0.016889468,2.7068708,3.3170393,0.4632759999999999,2.0872011251758087,0.0,1.0,10.26,0.017348864914999998,2.8224066949999997,0.59077792
209,8.0,150099,,0.016370343,2.7006269,3.3093727,0.4608208,2.19571865443425,0.0,1.0,10.22,0.017321327605,2.8330721839999997,0.588238552
210,7.0,150467,,0.0163162,2.7428553,3.355945,0.4589847999999999,2.032608695652174,0.0,1.0,10.22,0.017305619885,2.843894591,0.585705232
